Name,City,Address,Website Link,Phone Number,Description of Services
Saline Area Social Security,Saline,1259 Industrial Dr.,http://www.salinesocialservice.com/get-food/how-we-can-help,(734) 429-4570,"Food pantry 10am-6pm Mondays, 10am-2:30pm Tuesdays, Wednesdays, and Thursdays (proof of residence, income tax, and I.D required)."
Salvation Army - Ann Arbor Office,Ann Arbor,100 Arbana,https://centralusa.salvationarmy.org/washtenaw/cure-hunger/,(734) 668-8353,Food pantry 9:30-11:30am and 1-3pm Tuesdays and Thursdays.
Salvation Army - Ypsilanti Office,Ypsilanti,518 Harriet St.,https://centralusa.salvationarmy.org/washtenaw/cure-hunger/,(734) 668-8353,Meals served at Hope Clinic.
Second Baptist Church of Ypsilanti,Ypsilanti,301 S. Hamilton St.,http://www.sbcypsi.org,(734) 483-4342,Food pantry 11:30am-12:30pm Mondays. 
St. Andrew's Episcopal Church,Ann Arbor,306 N. Division St. ,http://standrewsaa.org,(734) 663-0518,Hot (free) breakfasts 7:30-8:30am daily. 
St. John the Baptist Catholic Church,Ypsilanti,411 Florence St.,http://www.ypsilanticatholic.com,(734) 483-3360,Food pantry 6:30-7:30pm Thursdays (proof of residency and I.D. required).
Victorious Life Church of God,Ypsilanti,860 E. Clark Rd.,http://www.vlcog.org,(734) 482-4293,"Food pantry 6-7:30pm Tuesdays, every 2nd and 3rd of the month."
Vineyard Church of Ann Arbor,Ann Arbor,2275 Platt Rd. ,http://annarborvineyard.org/index.php,(734) 477-9135,Free dinner 7-8pm Fridays at Liberty Plaza.
Ypsilanti Meals on Wheels,Ypsilanti,1110 W. Cross St.,http://ymow.org,(734) 487-9669,Food delivery for homebound adults 10am-1:30pm Monday through Friday. 
Ypsilanti Senior Center,Ypsilanti,1015 N. Congress St.,https://ypsiseniorcenter.org/,(734) 483-5014,"Hot meals at 11:45am Monday through Friday (reservation necessary, low cost)."
Ypsilanti Township Community Center,Ypsilanti,2025 E. Clark Rd.,https://ytown.org/recreation-community-center,(734) 544-3800,Hot lunches for seniors 12pm daily (low cost). 
Ann Arbor Second Baptist Church,Ann Arbor,850 Red Oak Rd.,https://sbcaa.org/,(734) 663-9369,"Food distribution 12-1pm Fridays, one visit per month (I.D. required)."
Food Gatherers Community Kitchen,Ann Arbor,312 W Huron St.,https://www.foodgatherers.org/location/food-gatherers-community-kitchen/,(734) 261-2796,"Lunches 12-1pm Monday-Friday, 3-4pm Saturday/Sunday. Dinners 5:30-6:30pm Monday-Friday, 3-4pm Saturday/Sunday."
Muslim Community Association of Ann Arbor and Vicinity,Ann Arbor,2301 Plymouth Rd.,https://mca-a2.org/,(734) 665-6772,Pantry for clients of JFS.
The Back Door Food Pantry @ St. Clare Episcopal Church,Ann Arbor,2309 Packard St. ,https://www.backdoorfoodpantry.org/,(734) 662-2449,Food pantry 4-7pm Thursdays. 
Trinity Lutheran Church,Ann Arbor,1400 W Stadium Blvd,https://www.trinitya2.org/,(734) 662-4419,"Fresh prduce 10am-12pm Fridays, June-September."
Bethesda Bible Church,Ypsilanti,1800 S. Huron St.,http://bethesda.church/,(734) 483-7279,Food distribution 10:30am-12pm every 2nd and 4th Wednesday each month (I.D. requested). 
Calvary Bible Church,Ypsilanti,8318 Carpenter Rd.,http://calvary-bible.org/,(734) 664-7306,Food pantry 10am-12pm every 2nd and 4th Saturday of each month.
Christian Love Fellowship,Ypsilanti,1601 Stamford,https://www.clfmi.church/,(734) 483-7967,"Food distribution 12-2pm every 2nd and 3rd Wednesday of each month (one visit per month, I.D. and social security card required)."
Community Church of God,Ypsilanti,565 Jefferson St. ,https://www.communitychurchofgod.org/,(734) 272-1552,Food pantry 12-2pm every 1st and 3rd Friday of each month.
Family Inc. @ Christian Tabernacle Church,Ypsilanti,983 E. Michigan Ave. ,https://m.facebook.com/p/Christian-Tabernacle-Baptist-Church-100071151669235/,(734) 480-4470,Food distribution 9:30am-12pm every last Saturday of each month.
Grace Fellowship Church,Ypsilanti,1301 S. Harris,https://gfhos.org/,(734) 320-5300,Food pantry 11:30am-1:30pm every 1st and 2nd Saturday of each month.
Greater Faith Mission,Ypsilanti,670 Onandaga,https://m.facebook.com/p/Greater-Faith-Transition-Inc-100064893182488/,(734) 217-9014,Food distribution (some clothing) 8-9pm Tuesdays
Islamic Association of Ypsilanti,Ypsilanti,850 S. Hewitt St.,https://www.iaypsilanti.org/,(734) 483-8092,"Food pantry 10:45am-12:30pm Tuesdays,"
Joyful Treats Community Development Corp.,Ypsilanti,103 Ecorse Rd.,https://joyfultreats.org/,(734) 485-4367,Food distribution 2:30-4:30pm first Tuesday of each month. 
Metropolitan Memorial Baptist Church,Ypsilanti,431 Hawkins St.,https://www.yellowpages.com/ypsilanti-mi/mip/metropolitan-baptist-church-3730305,(734) 483-0092,Food pantry 1-2pm Tuesdays (I.D. and elegibility required).
Washtenaw County Public Health,Ypsilanti,555 Towner St.,https://www.washtenaw.org/1129/Health-Department,(734) 544-6700,Food distribution 2-3:30pm the 3rd Wednesdays of each month.
Word of Deliverance Church,Ypsilanti,1005 Midway Rd.,http://twodc.org/,(734) 483-6110,Food pantry 11:30am-1pm the 2nd Tuesday of each month.
Ypsilanti Church of Christ,Ypsilanti,1070 E. Cross St.,https://www.facebook.com/ypsicofc/,(734) 483-1864,Food distribution 11am-1pm the 4th Saturday of each month. 
Active Faith Community Services,South Lyon,401 S. Washington,https://www.activefaithcs.org/,(248) 437-9790,Food pantry 1-7pm the 2nd and 4th Monday of each month.
Aid in Milan,Mlan,89 West Main St.,https://aidinmilan.org/,(734) 439-8420,"Food distribution for residents of Milan Area School District or 48160 zip code. (one visit per month, I.D., proof of residency and income required)"
Compassion Ministry of Milan,Milan,120 Hack St.,http://compassionministry.org/,(734) 681-0799,Food pantry 10am-12pm every Saturday (for residents of Washtenaw county or live in Milan School District.
Faith in Action - Chelsea,Chelsea,603 S. Main St.,https://faithinaction1.org/,(734) 475-3305,"Food pantry 9am-7pm Wednesdays, 9am-4pm Mondays, Tuesdays, Thursdays, Fridays (income eligibility, address, and I.D. required, two visits per month allowed)."
Harvest Baptist Church,Grass Lake,17999 Washburn Rd.,https://www.facebook.com/hbcgrasslake/,(734) 945-0857,Food pantry 12-1pm Sundays and 7-8pm Wednesdays.
Manchester Community Resource Center,Manchester,410 City Rd. ,https://manchestercrc.org/,(734) 428-7722,"Food pantry 9am-12pm Tuesdays, Thursdays, Fridays and 1-4pm Mondays, Tuesdays, Wednesdays, and Fridays (for residents of Manchester School District, I.D. required, two visits per month)."
Manchester Family Services,Manchester,210 W. Main St.,https://aaa1b.org/caregiver_services/manchester-family-service/,(734) 428-8852,"Food distribution 1-3pm the 3rd Wednesday of each month (for residents of Manchester School District/Township, call ahead)."
Northfield Human Services,Whitemore Lake,10 Jennings Rd.,https://northfieldhumanservices.org/,(734) 449-0110,"Food pantry 11am-5pm Mondays and Tuesdays (for residents of Whitmore Lake or Northfield Township, I.D., proof of income, residency, children, and home required)."
St. James Church of Christ,Saline,11005 W. Michigan Ave.,https://www.stjamessaline.com/,(734) 429-9761,Food distribution 9am-11am the 1st and 3rd Saturday of each month. 
Saline Area Social Services,Saline,224 W. Michigan Ave. ,https://salinesocialservice.com/,(734) 429-4570,"Food pantry 10am-5pm Mondays, 10am-2:30pm Tuesdays, Wednesdays, and Thursdays."
